animal,score_before,score_after,treatment
0,14.248690727326483,9.776487172699849,0
1,9.943656495473089,8.854062755687659,0
2,12.730815258649358,6.396922606239435,0
3,14.48962352843296,9.477586198209794,0
4,11.638078192114197,10.50125924904518,0
5,13.924215874089949,6.879718581004692,0
6,10.355165591972986,10.23189129066317,0
7,13.267538884670875,8.800217465371938,0
8,10.655143584899129,9.244283164157256,0
9,11.084427493431185,12.165630427431644,0
10,8.798761645574157,13.289447419679227,0
11,12.803181441185592,12.004988677803736,0
12,12.801711898528822,9.632544281651334,0
13,10.754219548962704,9.128461131481863,0
14,10.464223840747968,12.060710933476372,0
15,9.616678496549381,10.206492946288046,0
16,9.625654599760802,9.30958871700256,0
17,9.657507738326363,10.974670802162198,0
18,8.765379302729444,11.468831395634185,0
19,14.319604354219742,12.48408832115467,0
20,10.61632889527677,9.224742071830327,0
21,9.505683412498325,14.384909202055493,0
22,11.101615509552058,9.726008706861293,0
23,11.381830969334931,15.200510272957684,0
24,11.240317904963259,12.234406219414838,0
25,11.600340639911655,10.295500307012963,0
26,8.71496360395572,10.301314555174246,0
27,10.582211533250444,12.173246382364395,0
28,12.67796682774901,12.862204162607114,0
29,11.571174650508517,12.770282328541455,0
30,9.491204118006694,13.505736310466576,0
31,12.025859640836018,10.403814329794569,0
32,11.977036293074994,10.848856573957889,0
33,13.263258774902853,14.039633632844398,0
34,15.371150813066322,8.207007329023725,0
35,8.111772389140821,9.991068274107098,0
36,11.320074138895661,12.75233784223245,0
37,11.63126989448321,6.955597568351994,0
38,10.387591974743255,12.655949285214492,0
39,11.460189470728768,12.52402236062405,0
40,10.555343714779282,10.598483862140005,0
41,11.37312278197657,11.820103294416512,0
42,11.396599440253539,11.238017291614918,0
43,9.658675427421938,11.75512757264184,0
44,11.243642541982874,13.258967815823839,0
45,13.397835759803014,11.370312834967887,0
46,10.249430099819772,9.722539185091556,0
47,11.846988708128226,11.154680136697118,0
48,10.312292648857849,11.087193713668494,0
49,9.759998312103741,12.396064068144439,0
50,10.105742870428003,18.449015409610997,1
51,11.8069832835816,17.187157046474134,1
52,8.810176308517917,16.338764866117337,1
53,12.48111290219255,14.09259879638413,1
54,10.467562987992755,16.06522909338672,1
55,8.253765359506488,16.630318784084583,1
56,12.692321295170068,14.280968118336027,1
57,11.701091957328215,13.375433177525137,1
58,10.922608981467897,12.76845529059341,1
59,13.242835416471328,16.817801075873653,1
60,10.950766088248443,14.449676761661681,1
61,13.547511860317552,19.93420349850947,1
62,7.284036271106496,18.47232806090564,1
63,14.255301506297812,16.676023393148952,1
64,8.601463935329628,17.72669063508804,1
65,10.638159395843699,14.792158744413486,1
66,8.539883728666076,17.10107499195243,1
67,12.585613731838695,14.752938540640416,1
68,12.041152674146742,13.711317220753715,1
69,12.603722063742689,16.09313459684829,1
70,10.626860456185302,15.79650825494171,1
71,12.737772314011735,17.500823279730014,1
72,12.058930648705418,16.275402419994773,1
73,11.155642255825413,17.23676052399705,1
74,11.464989118357476,17.36510281372897,1
75,10.37976645296388,11.130324471785723,1
76,13.077649203718828,20.373959293948516,1
77,11.882728887137164,15.799689533433,1
78,10.727110512207934,15.76189162445038,1
79,11.034818816600009,13.755962542506223,1
80,9.965811084159544,14.005946344699474,1
81,11.497598322775541,15.406717695258275,1
82,11.99042264795592,15.650593680514998,1
83,12.972670375642483,16.427067802670884,1
84,15.381399457939466,12.207278154217814,1
85,9.706166623490184,17.802973783297425,1
86,16.056651413612798,15.50273044456908,1
87,11.08733798635678,15.547371514972788,1
88,13.662914225175184,15.425384273047962,1
89,12.360139679756209,15.360396802202658,1
90,8.454882489508012,16.627095440926865,1
91,12.006369626870653,18.586451765064524,1
92,10.779105947165368,14.765275872575279,1
93,12.125522193238053,16.481474184475466,1
94,11.561330154245278,15.853774592505445,1
95,13.32067713998754,16.73898543275145,1
96,14.809317416681964,18.22211339712101,1
97,12.31809959220042,12.745123318767485,1
98,12.204638560591258,16.840564407294117,1
99,12.621903345607112,18.088884189414518,1
